Id_FranceArchives,Nom_du_service,Identifiant_du_service,Courriel,Telephone,Adresse_postale,Adresse_du_service,Ville,Code_postal,Horaires_d_ouverture,Site_internet,Code_insee_commune,Latitude,Longitude,Lien_FranceArchives,Categorie_de_service,Categorie,Service_de_rattachement
886673186,Archives municipales et communautaires de Mayenne,FREPCI200055887,adrien.revers@mayennecommunaute.fr,02.43.30.21.21,"Hôtel de ville et de communauté, 10 rue de Verdun, CS 60111, 53103 Mayenne Cedex",10 rue de Verdun,Mayenne,53100,Sur rendez-vous,,53147,48.30614,-0.620816,https://francearchives.gouv.fr/fr/service/886673186,C,Archives municipales,
33665,Bordeaux Métropole - Archives de Bordeaux Métropole,FR-ABM243300316,archives@bordeaux-metropole.fr,05.56.10.20.55,,Parvis des archives,Bordeaux,33100,Du lundi au vendredi de 9h30 à 17h,https://archives.bordeaux-metropole.fr/,33063,44.846848,-0.554049,https://francearchives.gouv.fr/fr/service/33665,C,Archives municipales,
82632218,Carcassonne Agglomération - Service des archives,,patrice.olivan-jarque@carcassonne-agglo.fr,04.68.10.56.00,,1 rue Pierre Germain,Carcassonne,11000,Du lundi au vendredi de 8h30 à 12h et 13h30 à 17h,,11069,43.212966,2.357944,https://francearchives.gouv.fr/fr/service/82632218,C,Archives municipales,
898322466,Caux Seine Agglo - Service gestion de l’information,FREPCI200010700,v.guilbert@cauxseine.fr,02 32 84 64 47,,Maison de l'Intercommunalité Allée du Câtillon,Lillebonne,76170,Sur rendez-vous,https://www.cauxseine.fr,76384,49.510670067857575,0.5387042800296741,https://francearchives.gouv.fr/fr/service/898322466,C,Archives municipales,
707202869,Centre Morbihan Communauté - Service des archives,,mleflohic@cmc.bzh,02.97.44.22.58,"Zone de Kerjean, CS 10369, 56503 Locminé Cedex",,,,,,56117,,,https://francearchives.gouv.fr/fr/service/707202869,C,Archives municipales,
1059735255,Centre de gestion de Guyane - Service des archives,,cdgarchives@cdg973.fr,05.94.29.74.14,,"36, Avenue Louis Pasteur",Cayenne,97300,Fermé au public,https://www.cdg-guyane.fr/,97302,4.94336,-52.323823,https://francearchives.gouv.fr/fr/service/1059735255,C,Archives municipales,
635187684,Centre de gestion de la Fonction publique territoriale du Rhône et de la métropole de Lyon - Service des archivistes itinérants,,audrey.lacals@cdg69.fr,04 72 38 39 50 / 07 88 47 38 14,,9 allée Alban Vistel,Sainte Foy-lès-Lyon,69110,,,69202,45.734072,4.788884,https://francearchives.gouv.fr/fr/service/34052#service-635187684,C,Archives municipales,Centre de gestion de la fonction publique territoriale du Rhône et de la métropole de Lyon - Service documentation et archives
34190,Centre de gestion de la Grande Couronne de la Région Ile-de-France - Service des archives,,archives@cigversailles.fr,01.39.49.63.24 ,,15 rue Boileau,Versailles,78000,Fermé au public,http://www.cigversailles.fr/,78646,48.795327,2.147159,https://francearchives.gouv.fr/fr/service/34190,C,Archives municipales,
749378262,Centre de gestion de la fonction publique territoriale d'Eure-et-Loir - Service Accompagnement à la gestion des archives,,archivage@cdg28.fr,02.37.91.55.06,,"Maison des Communes, 9 rue Jean Perrin",Luisant,28600,,,28220,48.417363,1.452104,https://francearchives.gouv.fr/fr/service/749378262,C,Archives municipales,
689545462,Centre de gestion de la fonction publique territoriale de Charente-Maritime - Service des archives,,sonia.maillet@cdg17.fr,05.46.27.47.00,"CS 50002, 17076 La Rochelle Cedex 9",85 boulevard de la République,La Rochelle,17000,,https://www.cdg17.fr/,17300,46.138254,-1.151307,https://francearchives.gouv.fr/fr/service/689545462,C,Archives municipales,
33785,Centre de gestion de la fonction publique territoriale de Loire-Atlantique - Service Archives,,archives@cdg44.fr,02.40.20.00.71,,6 rue du Pen Duick II,Nantes,44200,,,44109,47.211152,-1.529489,https://francearchives.gouv.fr/fr/service/33785,C,Archives municipales,
34098,Centre de gestion de la fonction publique territoriale de Savoie - Service des Archives,,archives@cdg73.fr,04.79.70.22.52,,"Parc d'activités Alpespace - Bâtiment CERES, 113 voie Albert Einstein",Francin,73800,,,73118,45.479065,6.031065,https://francearchives.gouv.fr/fr/service/34098,C,Archives municipales,
34086,Centre de gestion de la fonction publique territoriale de Saône-et-Loire - Service des archives,,Archives-presta@cdg71.fr,03.85.21.19.19,, 6 rue de Flacé,Mâcon,71000,,,71270,46.310595,4.834936,https://francearchives.gouv.fr/fr/service/34086,C,Archives municipales,
34139,"Centre de gestion de la fonction publique territoriale de Seine-Maritime - Service ""Archives"" à destination des collectivités territoriales",,archives@cdg76.fr,06.28.42.09.64,,40 allée de la Ronce,Isneauville,76230,,,76377,49.495124,1.139409,https://francearchives.gouv.fr/fr/service/34139,C,Archives municipales,
34158,Centre de gestion de la fonction publique territoriale de Seine-et-Marne - Service d'archives itinérant,,thierry.roquincourt@cdg77.fr,06.08.69.21.26,,10 Points de Vue,Lieusaint,77127,,http://www.cdg77.fr/,77251,48.618146,2.538663,https://francearchives.gouv.fr/fr/service/34158,C,Archives municipales,
34266,Centre de gestion de la fonction publique territoriale de Vaucluse - Service archives,,,04.32.44.89.30,"CS 60508, Avignon Cedex 9","80 rue Marcel Demonque, Agroparc",Avignon,84000,,http://www.cdg84.fr,84007,43.913923,4.887463,https://francearchives.gouv.fr/fr/service/34266,C,Archives municipales,
33360,Centre de gestion de la fonction publique territoriale de l'Ain - Service des archives,,archives@cdg01.fr,04.74.32.13.86,,145 chemin de Bellevue,Péronnas,01960,,http://www.archives-communales-ain.fr,01289,46.18164,5.206645,https://francearchives.gouv.fr/fr/service/33360,C,Archives municipales,
33367,Centre de gestion de la fonction publique territoriale de l'Aisne - Mission archives,,contact@cdg02.fr,03.23.52.01.52,,14 rue Lucien Quittelier,Chauny,02300,,http://www.cdg02.fr,02173,49.624764,3.221747,https://francearchives.gouv.fr/fr/service/33367,C,Archives municipales,
624514385,Centre de gestion de la fonction publique territoriale de l'Ardèche,,dylan.hirt@cdg07.com ,04.75.35.68.10,"CS 70187, 07204 Lachapelle-sous-Aubenas Cedex","Le parc d'activité du Vinobre, 175 chemin des Traverses",La Chapelle sous Aubenas,07200,,,07122,44.571827,4.374448,https://francearchives.gouv.fr/fr/service/624514385,C,Archives municipales,
33593,Centre de gestion de la fonction publique territoriale de l'Eure - Service des archivistes itinérants,,archives@cdg27.fr,02.32.39.25.08,"BP 276, 27002 Evreux Cedex",10 bis rue du Docteur Michel Baudoux,Evreux,27000,,,27229,49.038273,1.140402,https://francearchives.gouv.fr/fr/service/33593,C,Archives municipales,
33681,Centre de gestion de la fonction publique territoriale de l'Hérault - Mission archives CDG 34,,missionarchives@cdg34.fr,04.67.04.38.80,, 254 rue Michel Teule,Montpellier,34184,,https://www.cdg34.fr/page/mission-archives-cdg-34-0#.V30XkqLrDF8,34172,43.62521,3.838501,https://francearchives.gouv.fr/fr/service/33681,C,Archives municipales,
293898295,Centre de gestion de la fonction publique territoriale de l'Indre - Service des archives,,e.bonnafoux@cdg36.fr,02.54.34.18.20,,21 rue Bourdillon,Châteauroux,36000,,,36044,46.808727,1.696455,https://francearchives.gouv.fr/fr/service/293898295,C,Archives municipales,
33727,Centre de gestion de la fonction publique territoriale de l'Isère - Service archives itinérantes,,nathalie.ngonika@cdg38.fr,04.76.33.20.33,"CS 50097, 38401 Saint-Martin d'Hères",416 rue des Universités,Saint-Martin-d'Hères,38400,,,38421,45.187798,5.769429,https://francearchives.gouv.fr/fr/service/33727,C,Archives municipales,
33952,Centre de gestion de la fonction publique territoriale de l'Oise - Service Archives,,archives@cdg60.com,03.44.06.22.60,,2 rue Jean Monnet,Beauvais,60000,Du lundi au vendredi de 8h30 à 12h et de 13h30 à 17h,,60057,49.444405,2.102369,https://francearchives.gouv.fr/fr/service/33952,C,Archives municipales,
937131890,Centre de gestion de la fonction publique territoriale de l'Orne - Pôle Assistance à la gestion documentaire,,g.leveel@cdg61.fr,02.33.80.48.00,,2 rue François Arago,Valframbert,61250,"Du lundi au jeudi de 8h30 à 12h15 et de 13h30 à 17h, le vendredi de 8h30 à 12h15 et de 13h30 à 16h30",https://www.cdg61.fr/,61497,48.448818,0.096877,https://francearchives.gouv.fr/fr/service/937131890,C,Archives municipales,
34319,Centre de gestion de la fonction publique territoriale de l'Yonne - Mission archives,,archives@cdg89.fr,03.86.51.43.43,"BP 86, 89011 Auxerre Cedex",47 rue Théodore-de-Bèze,Auxerre,89000,,,89024,47.792472,3.555174,https://francearchives.gouv.fr/fr/service/34319,C,Archives municipales,
33543,Centre de gestion de la fonction publique territoriale de la Côte d'Or - S.O.S. Archives,,archives@cdg21.fr,03.80.76.99.76,"CS 70566, 21005 Dijon Cedex",16-18 rue Nodot,Dijon,21000,,,21231,47.320824,5.025175,https://francearchives.gouv.fr/fr/service/33543,C,Archives municipales,
33567,Centre de gestion de la fonction publique territoriale de la Dordogne - Service des archives,,karine.barde@cdg24.fr,05.53.02.87.21,"BP 108, 24051 Perigueux Cedex 09","Maison des communes, 1 boulevard de Saltgourde",Marsac sur l'Isle,24430,,https://www.cdg24.fr/cdg_missions_archives_inventaires.php,24256,45.199803,0.670866,https://francearchives.gouv.fr/fr/service/33567,C,Archives municipales,
33581,Centre de gestion de la fonction publique territoriale de la Drôme - Service des archives,,emmanuelle.chazalon@cdg26.fr,04.75.82.01.30,"BP 1112, 26011 Valence Cedex","Allée André Revol, Bourg-Les-Valence",Valence,26000,,,26362,44.938594,4.924402,https://francearchives.gouv.fr/fr/service/33581,C,Archives municipales,
26287989,Centre de gestion de la fonction publique territoriale de la Gironde - Service d'accompagnement à la gestion des archives ,,archives@cdg33.fr,05.56.11.16.45 ,,20 rue du Cardinal Richaud,Bordeaux,33000,,,33063,44.887381,-0.564287,https://francearchives.gouv.fr/fr/service/26287989,C,Archives municipales,
28204462,Centre de gestion de la fonction publique territoriale de la Haute-Loire - Service des archives,,archives43@cdg43.fr,04.71.05.37.20,,"46, avenue de la Mairie",Espaly-Saint-Marcel,43000,Sur rendez-vous,,43089,45.045511,3.868287,https://francearchives.gouv.fr/fr/service/28204462,C,Archives municipales,
34112,Centre de gestion de la fonction publique territoriale de la Haute-Savoie - Service des archivistes intercommunaux,,rh@cdg74.fr,04.50.51.98.55,"CS 30138, Seynod 74600 Annecy",55 rue du Val Vert,Annecy,74600,,,74010,45.889918,6.109424,https://francearchives.gouv.fr/fr/service/34112,C,Archives municipales,
96750080,Centre de gestion de la fonction publique territoriale de la Haute-Saône - Service des archives,,archiviste@cdg70.fr,03.84.97.02.40,,27 avenue Aristide Briand,Vesoul,70000,,,70550,47.623292,6.162171,https://francearchives.gouv.fr/fr/service/96750080,C,Archives municipales,
33768,Centre de gestion de la fonction publique territoriale de la Loire - Service des archives,,gpouget@cdg42.org,04.77.42.67.20,,24 rue d'Arcole,Saint-Etienne,42000,Sur rendez-vous,,42218,45.440253,4.38307,https://francearchives.gouv.fr/fr/service/33768,C,Archives municipales,
33828,Centre de gestion de la fonction publique territoriale de la Lozère - Service des archives itinérantes,,b.legeay@cdg48.fr,04.66.65.30.03,,11 boulevard des Capucins,Mende,48000,,,48095,44.520308,3.497904,https://francearchives.gouv.fr/fr/service/33828,C,Archives municipales,
33845,Centre de gestion de la fonction publique territoriale de la Manche - Service d'aide à l'archivage,,archives@cdg50.fr,02.33.77.89.00,"CS 12309, 50009 Saint-Lô Cedex",139 rue Guillaume Fouace,Saint-Lô,50000,,,50502,49.100368,-1.084019,https://francearchives.gouv.fr/fr/service/33845,C,Archives municipales,
564813313,Centre de gestion de la fonction publique territoriale de la Marne - Service des archives,,archives@cdg51.fr,03.26.69.44.00,"CS 10105, 51007 Châlons-en-Champagne Cedex",11 rue Carnot,Châlons-en-Champagne,51000,,,51108,48.954493,4.366256,https://francearchives.gouv.fr/fr/service/564813313,C,Archives municipales,
33863,Centre de gestion de la fonction publique territoriale de la Mayenne - Service des archives,,nbosse@cdg53.fr,02.43.59.09.09 ,,"Parc Tertiaire Cérès, 21 rue Ferdinand Buisson",Changé,53810,,,53054,48.093009,-0.760991,https://francearchives.gouv.fr/fr/service/33863,C,Archives municipales,
33878,Centre de gestion de la fonction publique territoriale de la Meuse,,archives@cdg55.fr,03.29.91.44.35,"BP 90054, 55202 Commercy Cedex",92 rue des Capucins,Commercy,55200,,,55122,48.758571,5.595543,https://francearchives.gouv.fr/fr/service/33878,C,Archives municipales,
34283,Centre de gestion de la fonction publique territoriale de la Vendée - Service Conseil Archives,,conseil.archives@cdg85.fr,02.51.44.10.24,"CS 60239, 85006 La Roche-sur-Yon Cedex",65 rue Képler,La Roche-sur-Yon,85000,,https://www.maisondescommunes85.fr/prestations/conseil-archives,85191,46.671368,-1.399626,https://francearchives.gouv.fr/fr/service/34283,C,Archives municipales,
34296,Centre de gestion de la fonction publique territoriale de la Vienne - Service des archives,,archiviste@cdg86.fr,05.49.49.12.10,"C.S. 20205, 86962 Futuroscope Cedex","Téléport 1, avenue du Futuroscope / Arobase 1",Chasseneuil-du-poitou,86360,Sur rendez-vous,,86062,46.659352,0.362206,https://francearchives.gouv.fr/fr/service/34296,C,Archives municipales,
33399,Centre de gestion de la fonction publique territoriale des Alpes-Maritimes - Service d'aide à l'archivage,,archives@cdg06.fr,04.92.27.34.34,,33 avenue Henri Lantelme,Saint-Laurent-du-Var,06700,,http://cdg06.fr/modules/news/article.php?storyid=127,,43.660916,7.195392,https://francearchives.gouv.fr/fr/service/33399,C,Archives municipales,
33382,Centre de gestion de la fonction publique territoriale des Alpes-de-Haute-Provence - Service archives,,archives@cdg04.fr,06.67.98.02.35,"Chemin  du Font de Lagier, BP 9, 04130 Volx",2 rue du Trélus ,Digne-les-Bains,04000,,http://www.cdg04.fr/cdg04.asp?IdPage=3954,04070,44.090125,6.238835,https://francearchives.gouv.fr/fr/service/33382,C,Archives municipales,
173456038,Centre de gestion de la fonction publique territoriale des Ardennes - Mission Archives,,archives.rp@cdg08.fr,03.24.33.88.00,,1 boulevard Louis Aragon,Charleville-Mézières,08000,Lu.-Ve. 9h à 11h45 et 13h45 à 16h45,https://www.cdg08.fr/,08105,49.739786,4.723175,https://francearchives.gouv.fr/fr/service/173456038,C,Archives municipales,
33459,Centre de gestion de la fonction publique territoriale des Bouches-du-Rhône - Service Expertise et accompagnement en archivage,,archives@cdg13.com,04.42.54.40.50,"CS 10439, 13090 Aix-en-Provence Cedex 02",15 boulevard de la Grande Thumine,Aix-en-Provence,13090,,http://www.cdg13.com/,13001,43.525791,5.411296,https://francearchives.gouv.fr/fr/service/33459,C,Archives municipales,
33556,"Centre de gestion de la fonction publique territoriale des Côtes-d'Armor - Unité ""Archives Assistance""",,archives@cdg22.fr,02.96.58.64.00,,1 rue Pierre et Marie Curie,Plérin,22190,,https://sitearchives.cdg22.fr/accueil,22187,48.548019,-2.793948,https://francearchives.gouv.fr/fr/service/33556,C,Archives municipales,
943213666,Centre de gestion de la fonction publique territoriale des Deux-Sèvres - Service d’accompagnement à la gestion des archives,,archives@cdg79.fr,05.49.06.08.50,,9 rue Chaigneau,Saint-Maixent-L'École,79403,,https://www.cdg79.fr,79270,46.409158,-0.207335,https://francearchives.gouv.fr/fr/service/943213666,C,Archives municipales,
33391,Centre de gestion de la fonction publique territoriale des Hautes-Alpes - Service des archives,,archives@cdg05.fr,04.92.53.29.10,,1 rue des Marronniers,Gap,05000,,http://www.cdg05.fr/archives.php,05061,44.544287,6.064508,https://francearchives.gouv.fr/fr/service/33391,C,Archives municipales,
34001,Centre de gestion de la fonction publique territoriale des Hautes-Pyrénées - Service des archives,,archives@cdg65.fr,05.62.38.67.93,,13 rue Emile Zola,Séméac,65600,,,65417,43.232155,0.101819,https://francearchives.gouv.fr/fr/service/34001,C,Archives municipales,
33753,Centre de gestion de la fonction publique territoriale des Landes - Service des archives,,archives@cdg40.fr,05.58.85.80.14,,175 place de la Caserne Bosquet,Mont-de-Marsan,40000,,,40192,43.896897,-0.493175,https://francearchives.gouv.fr/fr/service/33753,C,Archives municipales,
33994,Centre de gestion de la fonction publique territoriale des Pyrénées-Atlantiques - Service Archives,,archives@cdg-64.fr,05.59.84.40.40,"Maison des Communes, Cité administrative, CS 40609, 64006 Pau Cedex",rue Auguste Renoir,Pau,64000,,,64445,43.310079,-0.358881,https://francearchives.gouv.fr/fr/service/33994,C,Archives municipales,
34310,Centre de gestion de la fonction publique territoriale des Vosges - Service d'archivage itinérant,,cgoutanier@cdg88.fr,03.54.04.60.23,,59 rue Jean Jaurès,Epinal,88000,,http://www.cdg88.fr/index.php?option=com_content&view=article&id=55&Itemid=27,88160,48.182191,6.438332,https://francearchives.gouv.fr/fr/service/34310,C,Archives municipales,
34012,Centre de gestion de la fonction publique territoriale du Bas-Rhin - Service des archivistes itinérants,,archivistes@cdg67.fr,06.26.20.08.66,"CS 40066, 67402 Illkirch-Graffenstaden",1475 boulevard Sébatien Brant,Illkirch-Graffenstaden,67400,,,67267,48.558537,7.692575,https://francearchives.gouv.fr/fr/service/34012,C,Archives municipales,
33496,Centre de gestion de la fonction publique territoriale du Calvados - Service des archives,,archiviste@cdg14.fr,02.31.15.50.20,,2 impasse Initialis,Hérouville Saint Clair,14200,,http://www.cdg14.fr/fr/archives/contexte-reglementaire/default.asp,14327,49.219097,-0.356054,https://francearchives.gouv.fr/fr/service/33496,C,Archives municipales,
33618,Centre de gestion de la fonction publique territoriale du Finistère - Service des Archives,,archives@cdg29.bzh,02.98.64.11.30,,7 boulevard du Finistère,Quimper,29000,,https://www.cdg29.bzh/fr,29232,48.014979,-4.090513,https://francearchives.gouv.fr/fr/service/33618,C,Archives municipales,
1143580492,Centre de gestion de la fonction publique territoriale du Gard - Service Archives,,archives@cdg30.fr,04.66.38.86.86,,183 chemin du Mas Coquillard,Nîmes,30900,,https://www.cdg30.fr/accompagnement-des-collectivites/conseil-et-missions-dexpertise/archives,30189,43.811608,4.331728,https://francearchives.gouv.fr/fr/service/1143580492,C,Archives municipales,
34025,Centre de gestion de la fonction publique territoriale du Haut-Rhin - Service intercommunal d'archives,,archivistes@cdg68.fr,03.89.20.36.00,,22 rue Wilson,Colmar,68000,,,68066,48.069257,7.346465,https://francearchives.gouv.fr/fr/service/34025,C,Archives municipales,
33747,Centre de gestion de la fonction publique territoriale du Jura - Service des archives,,archives@cdgjura.fr,03.84.53.06.39,"CS 50086, 39303 Champagnole Cedex",3 rue Victor Bérard,Champagnole,39300,,,39097,46.748793,5.90155,https://francearchives.gouv.fr/fr/service/33747,C,Archives municipales,
74698821,Centre de gestion de la fonction publique territoriale du Lot - Service des archives,,archives@cdg46.fr,05.65.23.00.95,,12 avenue Charles Pillat,Pradines,46090,,,46224,44.465729,1.414343,https://francearchives.gouv.fr/fr/service/74698821,C,Archives municipales,
33922,"Centre de gestion de la fonction publique territoriale du Nord - Service ""Archives""",,triot.m@cdg59.fr,03.59.56.88.59,"CS 71222, 59013 Lille Cedex",14 rue Jeanne Maillotte,Lille,59800,,http://www.cdg59.fr/conseil/archivage/,59350,50.63169,3.063379,https://francearchives.gouv.fr/fr/service/33922,C,Archives municipales,
33986,Centre de gestion de la fonction publique territoriale du Puy-de-Dôme - Service Archives,,catherine.luneau@cdg63.fr,04.73.28.59.80,"CS 70007, 63063 Clermond-Ferrand Cedex 1",7 rue Condorcet,Clermont-Ferrand,63100,,,63113,45.765688,3.132981,https://francearchives.gouv.fr/fr/service/33986,C,Archives municipales,
34052,Centre de gestion de la fonction publique territoriale du Rhône et de la métropole de Lyon - Service documentation et archives,,caroline.desreumaux@cdg69.fr,04.72.38.49.50,,9 allée Alban Vistel,Sainte Foy-lès-Lyon,69110,,,69202,45.734072,4.788884,https://francearchives.gouv.fr/fr/service/34052,C,Archives municipales,
34325,Centre de gestion de la fonction publique territoriale du Territoire de Belfort - Service d'archives itinérant,,cmougin@cdg90.fr,03.84.57.65.70,"CS 40322, 90006 Belfort Cedex",29 boulevard Anatole France,Belfort,90000,,,90010,47.637357,6.838736,https://francearchives.gouv.fr/fr/service/34325,C,Archives municipales,
34246,Centre de gestion de la fonction publique territoriale du Var - Service des archives,,archives@cdg83.fr,04.94.00.09.20,"CS 70576, 83041 Toulon Cedex 9",860 route des Avocats,La Crau,83260,,http://www.cdg83.fr/,83047,43.131272,6.077271,https://francearchives.gouv.fr/fr/service/34246,C,Archives municipales,
33439,Centre de gestion de la fonction publique territoriale de l'Aube - Service des archives,,archives@cdg10.fr,03.25.73.58.01,"BP 40085 - Sainte-Savine, 10602 La Chapelle-Saint-Luc Cedex","Parc du Grand Troyes, 2 rond-point Winston Churchill",Sainte-Savine,10300,,,10362,48.293895,4.012882,https://francearchives.gouv.fr/fr/service/33439,C,Archives municipales,
91439279,Communauté Intercommunale des Villes Solidaires (CIVIS) - Service des archives et de la documentation,,documentation@civis.re,0262.49.96.00 ,,29 route de l'Entre-Deux,Saint-Pierre,97410,,,97416,-21.302292,55.432126,https://francearchives.gouv.fr/fr/service/91439279,C,Archives municipales,
455474661,Communauté d'Agglomération Coeur de Flandre - Service des archives, FREPCI200040947,laura.schrive@ca-coeurdeflandre.fr,03.74.54.00.30,,222 bis rue du Vieux Berquin,Hazebrouck,59190,Sur rendez-vous,,59295,50.717351,2.55224,https://francearchives.gouv.fr/fr/service/455474661,C,Archives municipales,
33523,Communauté d'Agglomération Rochefort Océan - Archives Rochefort Océan,FREPCI200041762,archives@ville-rochefort.fr,05.46.82.65.88,"BP 60030, 17301 Rochefort Cedex",119 rue Pierre Loti,Rochefort,17300,Du lundi au vendredi de 9h à 12h et de 14h à 17h,https://www.ville-rochefort.fr/archives-municipales-rochefort,17299,45.936726,-0.962248,https://francearchives.gouv.fr/fr/service/33523,C,Archives municipales,
34472,Communauté d'Agglomération de Cergy-Pontoise - Service archives-documentation,FREPCI249500109,guillemette.besson@cergypontoise.fr,01.34.41.92.76,"Hôtel d'agglomération, CS 80309, 95027 Cergy-Pontoise Cedex",Parvis de la Préfecture,Cergy-Pontoise,95000,Du lundi au vendredi de 9h à 17h,,95127,49.036065,2.077578,https://francearchives.gouv.fr/fr/service/34472,C,Archives municipales,
327498519,Communauté d'Agglomération de Forbach Porte de France - Service d'archives mutualisé,FREPCI245700372,l.cellard@agglo-forbach.fr,07.63.76.86.74,"BP 70341, 57608 Forbach Cedex",100 rue des Moulins,Forbach,57608,Sur rendez-vous,,57227,49.184343,6.881189,https://francearchives.gouv.fr/fr/service/327498519,C,Archives municipales,
33515,Communauté d'Agglomération du Grand Angoulême - Service des archives,FREPCI200071827,c.phlippoteau@grandangouleme.fr,05.45.38.60.60,,17 boulevard Besson-Bey,Angoulême,16023,Du lundi au vendredi de 8h30 à 12h et de 13h15 à 16h30,,16015,45.659348,0.161029,https://francearchives.gouv.fr/fr/service/33515,C,Archives municipales,
34330,Communauté d'agglomération Grand Paris Sud - Direction documentation et archives,,archives@grandparissud.fr,01.64.13.17.52,500 place des Champs Elysées,"Hôtel d'agglomération , 9 allée de la Citoyenneté",Evry-Courcouronnes,91080,Du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h30,http://www.agglo-evry.fr/,91228,48.639623,2.425067,https://francearchives.gouv.fr/fr/service/34330,C,Archives municipales,
33859,"Communauté d'agglomération Grand Saint-Dizier, Der et Vallées et ville de Saint-Dizier - Archives municipales",FRAM52448,archives@mairie-saintdizier.fr,03.25.07.31.21,,18 rue de la Commune de Paris,Saint-Dizier,52100,Sur rendez-vous,,52448,48.635491,4.948264,https://francearchives.gouv.fr/fr/service/33859,C,Archives municipales,
129844288,Communauté d'agglomération Melun Val de Seine - Service des archives,FREPCI247700057,archives@astrolabe-melun.fr,01.64.79.25.25,,297 rue Rousseau Vaudran,Dammarie Les Lys,77190,,,77152,48.522193,2.651656,https://francearchives.gouv.fr/fr/service/129844288,C,Archives municipales,
